item,taxon,product,productLabel
http://www.wikidata.org/entity/Q34687,Rosa,http://www.wikidata.org/entity/Q107307367,rose juice
http://www.wikidata.org/entity/Q41611,Coriandrum sativum,http://www.wikidata.org/entity/Q20856764,coriander seed
http://www.wikidata.org/entity/Q34687,Rosa,http://www.wikidata.org/entity/Q113325867,rose hip seed
http://www.wikidata.org/entity/Q23400,Allium sativum,http://www.wikidata.org/entity/Q72480094,garlic oil
http://www.wikidata.org/entity/Q30046,Vitis vinifera,http://www.wikidata.org/entity/Q4820063,grape leaves
http://www.wikidata.org/entity/Q23425,Cucumis sativus,http://www.wikidata.org/entity/Q103748177,cucumber seed
http://www.wikidata.org/entity/Q38859,Ocimum basilicum,http://www.wikidata.org/entity/Q1061638,Genovese basil
http://www.wikidata.org/entity/Q34687,Rosa,http://www.wikidata.org/entity/Q110611181,rose vinegar
http://www.wikidata.org/entity/Q171497,Helianthus annuus,http://www.wikidata.org/entity/Q57271747,sunflower lecithin
http://www.wikidata.org/entity/Q7224565,Raphanus sativus,http://www.wikidata.org/entity/Q46700169,radish sprout
http://www.wikidata.org/entity/Q43511,Foeniculum vulgare,http://www.wikidata.org/entity/Q112608074,Organic fennel seed
http://www.wikidata.org/entity/Q7224565,Raphanus sativus,http://www.wikidata.org/entity/Q33669098,radish
http://www.wikidata.org/entity/Q18674606,Malus domestica,http://www.wikidata.org/entity/Q100353572,apple seed
http://www.wikidata.org/entity/Q131342,Vicia faba,http://www.wikidata.org/entity/Q110611111,broad bean blossom
http://www.wikidata.org/entity/Q171497,Helianthus annuus,http://www.wikidata.org/entity/Q1076906,sunflower seed
http://www.wikidata.org/entity/Q83193,Lactuca sativa,http://www.wikidata.org/entity/Q66604108,little gem lettuce
http://www.wikidata.org/entity/Q2946681,Prunus subg. Cerasus,http://www.wikidata.org/entity/Q28870510,Q28870510
http://www.wikidata.org/entity/Q51148,Allium schoenoprasum,http://www.wikidata.org/entity/Q61046162,chives
http://www.wikidata.org/entity/Q47722,Brassica oleracea var. italica,http://www.wikidata.org/entity/Q57544960,broccoli
http://www.wikidata.org/entity/Q11678009,Daucus carota subsp. sativus,http://www.wikidata.org/entity/Q1734304,carrot seed oil
http://www.wikidata.org/entity/Q43511,Foeniculum vulgare,http://www.wikidata.org/entity/Q110611158,fennel root
http://www.wikidata.org/entity/Q44789,Morus,http://www.wikidata.org/entity/Q11113119,mulberry
http://www.wikidata.org/entity/Q33681353,Allium ampeloprasum var. porrum,http://www.wikidata.org/entity/Q1807269,leek
http://www.wikidata.org/entity/Q148396,Melissa officinalis,http://www.wikidata.org/entity/Q55815430,melissa seed oil
http://www.wikidata.org/entity/Q1111359,Salvia officinalis,http://www.wikidata.org/entity/Q96110429,sage leaf
http://www.wikidata.org/entity/Q102240169,Salvia rosmarinus,http://www.wikidata.org/entity/Q1251367,rosemary oil
http://www.wikidata.org/entity/Q218462,Anthriscus cerefolium,http://www.wikidata.org/entity/Q21281535,chervil
http://www.wikidata.org/entity/Q193498,Allium ascalonicum,http://www.wikidata.org/entity/Q67206407,shallot
http://www.wikidata.org/entity/Q18674606,Malus domestica,http://www.wikidata.org/entity/Q103534317,apple peel
http://www.wikidata.org/entity/Q99730767,Beta vulgaris var. flavescens,http://www.wikidata.org/entity/Q36823285,chard
http://www.wikidata.org/entity/Q44789,Morus,http://www.wikidata.org/entity/Q110807092,mulberry wood
http://www.wikidata.org/entity/Q12252383,Rubus idaeus,http://www.wikidata.org/entity/Q13179,raspberry
http://www.wikidata.org/entity/Q47722,Brassica oleracea var. italica,http://www.wikidata.org/entity/Q17163130,broccoli sprouts
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q103566559,borage leaf
http://www.wikidata.org/entity/Q12252383,Rubus idaeus,http://www.wikidata.org/entity/Q55815098,raspberry seed oil
http://www.wikidata.org/entity/Q47859,Mentha,http://www.wikidata.org/entity/Q27640062,mint leaf
http://www.wikidata.org/entity/Q148668,Thymus vulgaris,http://www.wikidata.org/entity/Q3215980,thyme
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q4944279,borage seed oil
http://www.wikidata.org/entity/Q1111359,Salvia officinalis,http://www.wikidata.org/entity/Q1226356,Dalmatian sage oil
http://www.wikidata.org/entity/Q43511,Foeniculum vulgare,http://www.wikidata.org/entity/Q27658833,fennel fruit
http://www.wikidata.org/entity/Q83193,Lactuca sativa,http://www.wikidata.org/entity/Q104666136,lettuce
http://www.wikidata.org/entity/Q155909,Urtica dioica,http://www.wikidata.org/entity/Q48371359,nettle fiber
http://www.wikidata.org/entity/Q43511,Foeniculum vulgare,http://www.wikidata.org/entity/Q1470519,fennel oil
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q110611293,borage water
http://www.wikidata.org/entity/Q102240169,Salvia rosmarinus,http://www.wikidata.org/entity/Q42807504,extracts of rosemary
http://www.wikidata.org/entity/Q2946681,Prunus subg. Cerasus,http://www.wikidata.org/entity/Q196,cherry
http://www.wikidata.org/entity/Q102240169,Salvia rosmarinus,http://www.wikidata.org/entity/Q68315046,rosemary
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q102822802,borage seed fatty acid
http://www.wikidata.org/entity/Q131342,Vicia faba,http://www.wikidata.org/entity/Q61672189,broad bean
http://www.wikidata.org/entity/Q12252383,Rubus idaeus,http://www.wikidata.org/entity/Q25220811,raspberry juice
http://www.wikidata.org/entity/Q18674606,Malus domestica,http://www.wikidata.org/entity/Q4781286,apple seed oil
http://www.wikidata.org/entity/Q171497,Helianthus annuus,http://www.wikidata.org/entity/Q94787,sunflower oil
http://www.wikidata.org/entity/Q43511,Foeniculum vulgare,http://www.wikidata.org/entity/Q115618652,fennel bulb
http://www.wikidata.org/entity/Q18674606,Malus domestica,http://www.wikidata.org/entity/Q89,apple
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q102822690,Borago officianalis seed
http://www.wikidata.org/entity/Q148396,Melissa officinalis,http://www.wikidata.org/entity/Q96312592,melissa leaf
http://www.wikidata.org/entity/Q7229863,Cucurbita pepo,http://www.wikidata.org/entity/Q165308,pumpkin
http://www.wikidata.org/entity/Q7229863,Cucurbita pepo,http://www.wikidata.org/entity/Q25172229,marrow
http://www.wikidata.org/entity/Q188614,Pastinaca sativa,http://www.wikidata.org/entity/Q104413481,parsnip
http://www.wikidata.org/entity/Q83193,Lactuca sativa,http://www.wikidata.org/entity/Q1310886,iceberg lettuce
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q27105738,amabiline
http://www.wikidata.org/entity/Q161235,Mentha pulegium,http://www.wikidata.org/entity/Q72499652,pennyroyal oil
http://www.wikidata.org/entity/Q81464,Spinacia oleracea,http://www.wikidata.org/entity/Q36814998,spinach
http://www.wikidata.org/entity/Q11678009,Daucus carota subsp. sativus,http://www.wikidata.org/entity/Q81,carrot
http://www.wikidata.org/entity/Q310438,Phaseolus,http://www.wikidata.org/entity/Q99658690,Dengkolan
http://www.wikidata.org/entity/Q155909,Urtica dioica,http://www.wikidata.org/entity/Q96347656,nettle herb
http://www.wikidata.org/entity/Q155909,Urtica dioica,http://www.wikidata.org/entity/Q96347851,nettle root
http://www.wikidata.org/entity/Q18674606,Malus domestica,http://www.wikidata.org/entity/Q62474609,apple wood
http://www.wikidata.org/entity/Q147075,Borago officinalis,http://www.wikidata.org/entity/Q72451039,borage oil
http://www.wikidata.org/entity/Q148668,Thymus vulgaris,http://www.wikidata.org/entity/Q1103369,thyme oil
http://www.wikidata.org/entity/Q218462,Anthriscus cerefolium,http://www.wikidata.org/entity/Q106730022,chevril oil
http://www.wikidata.org/entity/Q7229863,Cucurbita pepo,http://www.wikidata.org/entity/Q3056521,pumpkin seed
http://www.wikidata.org/entity/Q43511,Foeniculum vulgare,http://www.wikidata.org/entity/Q104005460,fennel
http://www.wikidata.org/entity/Q12252383,Rubus idaeus,http://www.wikidata.org/entity/Q7305370,red raspberry leaf
http://www.wikidata.org/entity/Q165191,Beta vulgaris,http://www.wikidata.org/entity/Q99548274,beet
http://www.wikidata.org/entity/Q155909,Urtica dioica,http://www.wikidata.org/entity/Q96347634,nettle leaf
http://www.wikidata.org/entity/Q165191,Beta vulgaris,http://www.wikidata.org/entity/Q36834781,beet green
http://www.wikidata.org/entity/Q11678009,Daucus carota subsp. sativus,http://www.wikidata.org/entity/Q104057199,carrot seed
http://www.wikidata.org/entity/Q7229863,Cucurbita pepo,http://www.wikidata.org/entity/Q7533,zucchini
http://www.wikidata.org/entity/Q7229863,Cucurbita pepo,http://www.wikidata.org/entity/Q770335,pumpkin seed oil
http://www.wikidata.org/entity/Q18674606,Malus domestica,http://www.wikidata.org/entity/Q110611298,Grünling
http://www.wikidata.org/entity/Q41611,Coriandrum sativum,http://www.wikidata.org/entity/Q72461489,coriander extract
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q27584859,Armeniacae Semen
http://www.wikidata.org/entity/Q42339,Phaseolus vulgaris,http://www.wikidata.org/entity/Q2987371,green bean
http://www.wikidata.org/entity/Q37453,Prunus armeniaca,http://www.wikidata.org/entity/Q37453,Prunus armeniaca
http://www.wikidata.org/entity/Q41611,Coriandrum sativum,http://www.wikidata.org/entity/Q65523167,cilantro
http://www.wikidata.org/entity/Q42339,Phaseolus vulgaris,http://www.wikidata.org/entity/Q65561345,white bean
http://www.wikidata.org/entity/Q155909,Urtica dioica,http://www.wikidata.org/entity/Q1397419,Urtica dioica convar. fibra
http://www.wikidata.org/entity/Q83193,Lactuca sativa,http://www.wikidata.org/entity/Q11853965,Lactuca sativa var. capitata
http://www.wikidata.org/entity/Q83193,Lactuca sativa,http://www.wikidata.org/entity/Q2248133,Lactuca sativa var. crispa
http://www.wikidata.org/entity/Q43238,Poaceae,http://www.wikidata.org/entity/Q66429760,grass
http://www.wikidata.org/entity/Q47859,Mentha,http://www.wikidata.org/entity/Q9323487,edible plant
http://www.wikidata.org/entity/Q43238,Poaceae,http://www.wikidata.org/entity/Q12117,cereal grain
http://www.wikidata.org/entity/Q42339,Phaseolus vulgaris,http://www.wikidata.org/entity/Q96068571,Phaseoli fructus (sine semine)
http://www.wikidata.org/entity/Q43238,Poaceae,http://www.wikidata.org/entity/Q2995529,grain
http://www.wikidata.org/entity/Q42339,Phaseolus vulgaris,http://www.wikidata.org/entity/Q74662248,common bean
http://www.wikidata.org/entity/Q51148,Allium schoenoprasum,http://www.wikidata.org/entity/Q9323487,edible plant
http://www.wikidata.org/entity/Q43238,Poaceae,http://www.wikidata.org/entity/Q336989,hay
