"","eppocode","pests_eppocode","idclass","labelclass","fullname"
"37","ACRBO","HEMELE",9,"Host","Orgyia leucostigma (as Acer)"
"38","ACRBO","RICASC",9,"Host","Ricania speculum (as Acer)"
"39","ACRBO","HESOCA",9,"Host","Trichoferus campestris (as Acer)"
"40","ACRBO","XANTAC",9,"Host","Xanthomonas acernea (as Acer)"
"41","ACRBO","XYLBGE",9,"Host","Xylosandrus germanus (as Acer)"
"42","ACRBO","ANOLCN",1,"Major host","Anoplophora chinensis (as Acer)"
"43","ACRCA","ACNLCO",9,"Host","Acanalonia conica"
"44","ACRCA","ANOLCN",9,"Host","Anoplophora chinensis"
"45","ACRCA","ANOLGL",9,"Host","Anoplophora glabripennis (as Acer)"
"46","ACRCA","QUADPE",9,"Host","Comstockaspis perniciosa"
"47","ACRCA","CRTHAR",9,"Host","Corythucha arcuata"
"48","ACRCA","ENDOPA",9,"Host","Cryphonectria parasitica (as Acer)"
"49","ACRCA","CRPSCO",9,"Host","Cryptostroma corticale"
"50","ACRCA","CRPSCO",9,"Host","Cryptostroma corticale (as Acer)"
"51","ACRCA","ETPLPA",9,"Host","Eutypella parasitica"
"52","ACRCA","EUWAWH",9,"Host","Euwallacea fornicatus sensu stricto"
"53","ACRCA","HALYHA",9,"Host","Halyomorpha halys"
"54","ACRCA","HYPHCU",9,"Host","Hyphantria cunea (as Acer)"
"55","ACRCA","LOPLJA",9,"Host","Lopholeucaspis japonica"
"56","ACRCA","MALADI",9,"Host","Malacosoma disstria (as Acer)"
"57","ACRCA","MPM000",9,"Host","Maple mosaic agent (as Acer)"
"58","ACRCA","MELGCH",9,"Host","Meloidogyne chitwoodi"
"59","ACRCA","HEMELE",9,"Host","Orgyia leucostigma (as Acer)"
"60","ACRCA","RICASC",9,"Host","Ricania speculum (as Acer)"
"61","ACRCA","SLENRU",9,"Host","Selenothrips rubrocinctus"
"62","ACRCA","HESOCA",9,"Host","Trichoferus campestris (as Acer)"
"63","ACRCA","XANTAC",9,"Host","Xanthomonas acernea (as Acer)"
"64","ACRCA","XYBIAL",9,"Host","Xyleborinus attenuatus"
"65","ACRCA","XYLBGE",9,"Host","Xylosandrus germanus (as Acer)"
"66","ACRCA","ANOLCN",1,"Major host","Anoplophora chinensis (as Acer)"
"67","ACRCE","ANOLGL",9,"Host","Anoplophora glabripennis (as Acer)"
"68","ACRCE","ENDOPA",9,"Host","Cryphonectria parasitica (as Acer)"
"69","ACRCE","CRPSCO",9,"Host","Cryptostroma corticale (as Acer)"
"70","ACRCE","HYPHCU",9,"Host","Hyphantria cunea (as Acer)"
"71","ACRCE","MALADI",9,"Host","Malacosoma disstria (as Acer)"
"72","ACRCE","MPM000",9,"Host","Maple mosaic agent (as Acer)"
"73","ACRCE","HEMELE",9,"Host","Orgyia leucostigma (as Acer)"
"74","ACRCE","RICASC",9,"Host","Ricania speculum (as Acer)"
"75","ACRCE","HESOCA",9,"Host","Trichoferus campestris (as Acer)"
"76","ACRCE","XANTAC",9,"Host","Xanthomonas acernea (as Acer)"
"77","ACRCE","XYLBGE",9,"Host","Xylosandrus germanus (as Acer)"
"78","ACRCE","ANOLCN",1,"Major host","Anoplophora chinensis (as Acer)"
"79","ACRCI","ANOLGL",9,"Host","Anoplophora glabripennis (as Acer)"
"80","ACRCI","ENDOPA",9,"Host","Cryphonectria parasitica (as Acer)"
"81","ACRCI","CRPSCO",9,"Host","Cryptostroma corticale (as Acer)"
"82","ACRCI","HYPHCU",9,"Host","Hyphantria cunea (as Acer)"
"83","ACRCI","MALADI",9,"Host","Malacosoma disstria (as Acer)"
"84","ACRCI","MPM000",9,"Host","Maple mosaic agent (as Acer)"
"85","ACRCI","HEMELE",9,"Host","Orgyia leucostigma (as Acer)"
"86","ACRCI","RICASC",9,"Host","Ricania speculum (as Acer)"
"87","ACRCI","HESOCA",9,"Host","Trichoferus campestris (as Acer)"
"88","ACRCI","XANTAC",9,"Host","Xanthomonas acernea (as Acer)"
"89","ACRCI","XYLBGE",9,"Host","Xylosandrus germanus (as Acer)"
"90","ACRCI","ANOLCN",1,"Major host","Anoplophora chinensis (as Acer)"
"91","ACRZO","ANOLGL",9,"Host","Anoplophora glabripennis (as Acer)"
"92","ACRZO","ENDOPA",9,"Host","Cryphonectria parasitica (as Acer)"
"93","ACRZO","CRPSCO",9,"Host","Cryptostroma corticale (as Acer)"
"94","ACRZO","HYPHCU",9,"Host","Hyphantria cunea (as Acer)"
"95","ACRZO","MALADI",9,"Host","Malacosoma disstria (as Acer)"
"96","ACRZO","MPM000",9,"Host","Maple mosaic agent (as Acer)"
"97","ACRZO","HEMELE",9,"Host","Orgyia leucostigma (as Acer)"
"98","ACRZO","RICASC",9,"Host","Ricania speculum (as Acer)"
"99","ACRZO","HESOCA",9,"Host","Trichoferus campestris (as Acer)"
"100","ACRZO","XANTAC",9,"Host","Xanthomonas acernea (as Acer)"
"101","ACRZO","XYLBGE",9,"Host","Xylosandrus germanus (as Acer)"
"102","ACRZO","ANOLCN",1,"Major host","Anoplophora chinensis (as Acer)"
"103","ADACR",NA,9,"Host",NA
"104","AILAL","ALECSN",9,"Host","Aleurocanthus spiniferus"
"105","AILAL","ERTNFU",9,"Host","Erthesina fullo"
"106","AILAL","XYLBFO",9,"Host","Euwallacea fornicatus sensu lato"
"107","AILAL","EUWAWH",9,"Host","Euwallacea fornicatus sensu stricto"
"108","AILAL","PHYP64",9,"Host","Grapevine flavescence dorée phytoplasma"
"109","AILAL","HALYHA",9,"Host","Halyomorpha halys"
"110","AILAL","HYPHCU",9,"Host","Hyphantria cunea"
"111","AILAL","LYCMDE",9,"Host","Lycorma delicatula"
"112","AILAL","PLTPMU",9,"Host","Megaplatypus mutatus"
"113","AILAL","FUSAEW",9,"Host","Neocosmospora euwallaceae"
"114","AILAL","HEMELE",9,"Host","Orgyia leucostigma"
"115","AILAL","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"116","AILAL","POCZSH",9,"Host","Pochazia shantungensis"
"117","AILAL","VERTAA",9,"Host","Verticillium albo-atrum"
"118","AILAL","THRISE",6,"Wild/Weed","Thrips setosus"
"119","AIURE","MELGMY",9,"Host","Meloidogyne enterolobii"
"120","AIURE","TRSV00",9,"Host","Nepovirus nicotianae"
"121","AJDEL","OFV000",9,"Host","Dichorhavirus orchidaceae"
"122","AKETF","ALECSN",9,"Host","Aleurocanthus spiniferus"
"123","AMCHU",NA,9,"Host",NA
"124","AMSLY",NA,9,"Host",NA
"125","AMURI",NA,9,"Host",NA
"126","ANCIT","TSWV00",9,"Host","Tomato spotted wilt virus"
"127","ANCOF","TSWV00",9,"Host","Tomato spotted wilt virus"
"128","AOXOD","DITYDI",9,"Host","Ditylenchus dipsaci"
"129","AOXPU","HYROBO",9,"Host","Listronotus bonariensis"
"130","ARLNU","ALEDDU",9,"Host","Aleurodicus dugesii (as Aralia)"
"131","ARLNU","ANOLCN",9,"Host","Anoplophora chinensis (as Aralia)"
"132","ARLNU","HESOCA",9,"Host","Trichoferus campestris (as Aralia)"
"133","ARLNU","TOCV00",6,"Wild/Weed","Tomato chlorosis virus"
"134","ASAGU","HESOCA",9,"Host","Trichoferus campestris (as Astragalus)"
"135","ASETI","CEPOHY",9,"Host","Cephonodes hylas (as Rubiaceae)"
"136","ASHAL",NA,9,"Host",NA
"137","ASHFI",NA,9,"Host",NA
"138","ASHMI",NA,9,"Host",NA
"139","ASTSC","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Aster)"
"140","ASTSC","PHYTCR",9,"Host","Phytophthora cryptogea (as Aster)"
"141","ASTSC","POCZSH",9,"Host","Pochazia shantungensis"
"142","ASTSC","PRODOR",9,"Host","Spodoptera ornithogalli (as Aster)"
"143","AYMPE",NA,9,"Host",NA
"144","BACPC","VINSST",9,"Host","Ceroplastes stellifer (as Baccharis)"
"145","BACPC","EUWAKU",9,"Host","Euwallacea kuroshio (as Baccharis)"
"146","BACPC","PHENPR",9,"Host","Phenacoccus peruvianus (as Baccharis)"
"147","BACPI","VINSST",9,"Host","Ceroplastes stellifer (as Baccharis)"
"148","BACPI","DIABUN",9,"Host","Diabrotica undecimpunctata undecimpunctata"
"149","BACPI","EUWAKU",9,"Host","Euwallacea kuroshio (as Baccharis)"
"150","BACPI","PHENPR",9,"Host","Phenacoccus peruvianus (as Baccharis)"
"151","BARVE","PYDV00",10,"Experimental","Alphanucleorhabdovirus tuberosum (as Brassicaceae)"
"152","BARVE","AGROSE",9,"Host","Agrotis segetum (as Brassicaceae)"
"153","BARVE","ATALCO",9,"Host","Athalia rosae (as Brassicaceae)"
"154","BARVE","BEMITA",9,"Host","Bemisia tabaci (as Brassicaceae)"
"155","BARVE","CEUTPL",9,"Host","Ceutorhynchus assimilis (as Brassicaceae)"
"156","BARVE","CEUTSL",9,"Host","Ceutorhynchus sulcicollis (as Brassicaceae)"
"157","BARVE","CONTNA",9,"Host","Contarinia nasturtii (as Brassicaceae)"
"158","BARVE","HYLEFL",9,"Host","Delia floralis (as Brassicaceae)"
"159","BARVE","HYLEFG",9,"Host","Delia florilega (as Brassicaceae)"
"160","BARVE","HYLEPL",9,"Host","Delia platura (as Brassicaceae)"
"161","BARVE","EURDOL",9,"Host","Eurydema oleraceum (as Brassicaceae)"
"162","BARVE","EURDOR",9,"Host","Eurydema ornata (as Brassicaceae)"
"163","BARVE","HELPRU",9,"Host","Helophorus rufipes (as Brassicaceae)"
"164","BARVE","PALEMA",9,"Host","Nephrotoma appendiculata (as Brassicaceae)"
"165","BARVE","OTALLA",9,"Host","Otala lactea (as Brassicaceae)"
"166","BARVE","PHYEAT",9,"Host","Phyllotreta atra (as Brassicaceae)"
"167","BARVE","PHYECR",9,"Host","Phyllotreta cruciferae (as Brassicaceae)"
"168","BARVE","PHYYRU",9,"Host","Phytomyza rufipes (as Brassicaceae)"
"169","BARVE","PIERBR",9,"Host","Pieris brassicae (as Brassicaceae)"
"170","BARVE","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassicaceae)"
"171","BARVE","LEPTMA",9,"Host","Plenodomus lingam (as Brassicaceae)"
"172","BARVE","PSYICH",9,"Host","Psylliodes chrysocephala (as Brassicaceae)"
"173","BARVE","SPODMA",9,"Host","Spodoptera mauritia (as Brassicaceae)"
"174","BARVE","TATOAU",9,"Host","Tatochila autodice (as Brassicaceae)"
"175","BARVE","TYLOBR",9,"Host","Tyloderma brassicae (as Brassicaceae)"
"176","BARVE","SPIRCI",6,"Wild/Weed","Spiroplasma citri (as Brassicaceae)"
"177","BEBOT","PUCCGR",3,"Alternate","Puccinia graminis (as Berberis)"
"178","BEBOT","CERPCE",9,"Host","Ceroplastes ceriferus (as Berberis)"
"179","BEBOT","PHYTKE",9,"Host","Phytophthora kernoviae (as Berberis)"
"180","BEBTH","PUCCGR",3,"Alternate","Puccinia graminis (as Berberis)"
"181","BEBTH","CERPCE",9,"Host","Ceroplastes ceriferus (as Berberis)"
"182","BEBTH","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"183","BEBTH","PHYTKE",9,"Host","Phytophthora kernoviae (as Berberis)"
"184","BEBTH","HELYBU",9,"Host","Rotylenchus buxophilus"
"185","BECSY",NA,9,"Host",NA
"186","BEDCO",NA,9,"Host",NA
"187","BOHLO","POCZSH",9,"Host","Pochazia shantungensis"
"188","BRDCO",NA,9,"Host",NA
"189","BRNPA","ANOLCN",9,"Host","Anoplophora chinensis"
"190","BRNPA","ANOLGL",9,"Host","Anoplophora glabripennis"
"191","BRNPA","APRIJA",9,"Host","Apriona rugicollis"
"192","BRNPA","DACUDO",9,"Host","Bactrocera dorsalis"
"193","BRNPA","CRTHCI",9,"Host","Corythucha ciliata"
"194","BRNPA","ERTNFU",9,"Host","Erthesina fullo"
"195","BRNPA","XYLBFO",9,"Host","Euwallacea fornicatus sensu lato"
"196","BRNPA","EUWAWH",9,"Host","Euwallacea fornicatus sensu stricto"
"197","BRNPA","LYCMDE",9,"Host","Lycorma delicatula"
"198","BRNPA","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"199","BRNPA","PSDMAK",9,"Host","Pseudomonas syringae pv. actinidiae"
"200","BRNPA","HESOCA",9,"Host","Trichoferus campestris"
"201","BRNPA","APRIGE",1,"Major host","Apriona germari"
"202","BROMG","BSTMV0",9,"Host","Brome streak  virus (as Bromus)"
"203","BROMG","HYROBO",9,"Host","Listronotus bonariensis (as Bromus)"
"204","BROMG","NYSIHU",9,"Host","Nysius huttoni (as Bromus)"
"205","BRSTO","PYDV00",10,"Experimental","Alphanucleorhabdovirus tuberosum (as Brassicaceae)"
"206","BRSTO","ADORSI",9,"Host","Adoretus sinicus (as Brassica)"
"207","BRSTO","AGRBTU",9,"Host","Agrobacterium tumefaciens (as Brassica)"
"208","BRSTO","AGROSE",9,"Host","Agrotis segetum (as Brassicaceae)"
"209","BRSTO","ALEUPR",9,"Host","Aleyrodes proletella (as Brassica)"
"210","BRSTO","ATALCO",9,"Host","Athalia rosae (as Brassicaceae)"
"211","BRSTO","BEMITA",9,"Host","Bemisia tabaci (as Brassicaceae)"
"212","BRSTO","CEUTPL",9,"Host","Ceutorhynchus assimilis (as Brassicaceae)"
"213","BRSTO","CEUTSL",9,"Host","Ceutorhynchus sulcicollis (as Brassicaceae)"
"214","BRSTO","CONTNA",9,"Host","Contarinia nasturtii (as Brassicaceae)"
"215","BRSTO","HYLEFL",9,"Host","Delia floralis (as Brassica)"
"216","BRSTO","HYLEFL",9,"Host","Delia floralis (as Brassicaceae)"
"217","BRSTO","HYLEFG",9,"Host","Delia florilega (as Brassicaceae)"
"218","BRSTO","HYLEPL",9,"Host","Delia platura (as Brassicaceae)"
"219","BRSTO","EURDOL",9,"Host","Eurydema oleraceum (as Brassicaceae)"
"220","BRSTO","EURDOR",9,"Host","Eurydema ornata (as Brassicaceae)"
"221","BRSTO","HELPRU",9,"Host","Helophorus rufipes (as Brassicaceae)"
"222","BRSTO","HETDSC",9,"Host","Heterodera schachtii (as Brassica)"
"223","BRSTO","LIRITR",9,"Host","Liriomyza trifolii (as Brassica)"
"224","BRSTO","BARABR",9,"Host","Mamestra brassicae (as Brassica)"
"225","BRSTO","PALEMA",9,"Host","Nephrotoma appendiculata (as Brassicaceae)"
"226","BRSTO","NYSIHU",9,"Host","Nysius huttoni (as Brassica)"
"227","BRSTO","OMOPLE",9,"Host","Omophlus lepturoides (as Brassica)"
"228","BRSTO","OTALLA",9,"Host","Otala lactea (as Brassicaceae)"
"229","BRSTO","PHYEAT",9,"Host","Phyllotreta atra (as Brassicaceae)"
"230","BRSTO","PHYECR",9,"Host","Phyllotreta cruciferae (as Brassicaceae)"
"231","BRSTO","PHYYRU",9,"Host","Phytomyza rufipes (as Brassicaceae)"
"232","BRSTO","PIERBR",9,"Host","Pieris brassicae (as Brassica)"
"233","BRSTO","PIERBR",9,"Host","Pieris brassicae (as Brassicaceae)"
"234","BRSTO","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassica)"
"235","BRSTO","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassicaceae)"
"236","BRSTO","LEPTMA",9,"Host","Plenodomus lingam (as Brassicaceae)"
"237","BRSTO","PSYICH",9,"Host","Psylliodes chrysocephala (as Brassicaceae)"
"238","BRSTO","SPODMA",9,"Host","Spodoptera mauritia (as Brassicaceae)"
"239","BRSTO","TATOAU",9,"Host","Tatochila autodice (as Brassicaceae)"
"240","BRSTO","TOCV00",9,"Host","Tomato chlorosis virus (as Brassica)"
"241","BRSTO","TYLOBR",9,"Host","Tyloderma brassicae (as Brassicaceae)"
"242","BRSTO","BAGRHI",1,"Major host","Bagrada hilaris (as Brassica)"
"243","BRSTO","SPIRCI",6,"Wild/Weed","Spiroplasma citri (as Brassicaceae)"
"244","BUNOR","PYDV00",10,"Experimental","Alphanucleorhabdovirus tuberosum (as Brassicaceae)"
"245","BUNOR","AGROSE",9,"Host","Agrotis segetum (as Brassicaceae)"
"246","BUNOR","ATALCO",9,"Host","Athalia rosae (as Brassicaceae)"
"247","BUNOR","BEMITA",9,"Host","Bemisia tabaci (as Brassicaceae)"
"248","BUNOR","CEUTPL",9,"Host","Ceutorhynchus assimilis (as Brassicaceae)"
"249","BUNOR","CEUTSL",9,"Host","Ceutorhynchus sulcicollis (as Brassicaceae)"
"250","BUNOR","CONTNA",9,"Host","Contarinia nasturtii (as Brassicaceae)"
"251","BUNOR","HYLEFL",9,"Host","Delia floralis (as Brassicaceae)"
"252","BUNOR","HYLEFG",9,"Host","Delia florilega (as Brassicaceae)"
"253","BUNOR","HYLEPL",9,"Host","Delia platura (as Brassicaceae)"
"254","BUNOR","EURDOL",9,"Host","Eurydema oleraceum (as Brassicaceae)"
"255","BUNOR","EURDOR",9,"Host","Eurydema ornata (as Brassicaceae)"
"256","BUNOR","HELPRU",9,"Host","Helophorus rufipes (as Brassicaceae)"
"257","BUNOR","PALEMA",9,"Host","Nephrotoma appendiculata (as Brassicaceae)"
"258","BUNOR","OTALLA",9,"Host","Otala lactea (as Brassicaceae)"
"259","BUNOR","PHYEAT",9,"Host","Phyllotreta atra (as Brassicaceae)"
"260","BUNOR","PHYECR",9,"Host","Phyllotreta cruciferae (as Brassicaceae)"
"261","BUNOR","PHYYRU",9,"Host","Phytomyza rufipes (as Brassicaceae)"
"262","BUNOR","PIERBR",9,"Host","Pieris brassicae (as Brassicaceae)"
"263","BUNOR","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassicaceae)"
"264","BUNOR","LEPTMA",9,"Host","Plenodomus lingam (as Brassicaceae)"
"265","BUNOR","PSYICH",9,"Host","Psylliodes chrysocephala (as Brassicaceae)"
"266","BUNOR","SPODMA",9,"Host","Spodoptera mauritia (as Brassicaceae)"
"267","BUNOR","TATOAU",9,"Host","Tatochila autodice (as Brassicaceae)"
"268","BUNOR","TYLOBR",9,"Host","Tyloderma brassicae (as Brassicaceae)"
"269","BUNOR","SPIRCI",6,"Wild/Weed","Spiroplasma citri (as Brassicaceae)"
"270","BYOAL","AVBO00",10,"Experimental","Cheravirus arracaciae oca strain (as Cucurbitaceae)"
"271","BYOAL","AGROSE",9,"Host","Agrotis segetum (as Cucurbitaceae)"
"272","BYOAL","ALEDDU",9,"Host","Aleurodicus dugesii (as Cucurbitaceae)"
"273","BYOAL","AMV000",9,"Host","Alfalfa mosaic virus (as Cucurbitaceae)"
"274","BYOAL","ANSTGR",9,"Host","Anastrepha grandis (as Cucurbitaceae)"
"275","BYOAL","AONDCI",9,"Host","Aonidiella citrina (as Cucurbitaceae)"
"276","BYOAL","APOMBI",9,"Host","Apomecyna binubila (as Cucurbitaceae)"
"277","BYOAL","AUACHI",9,"Host","Aulacophora hilaris (as Cucurbitaceae)"
"278","BYOAL","BARIGR",9,"Host","Baris granulipennis (as Cucurbitaceae)"
"279","BYOAL","BEMITA",9,"Host","Bemisia tabaci (as Cucurbitaceae)"
"280","BYOAL","CIRCTE",9,"Host","Circulifer tenellus (as Cucurbitaceae)"
"281","BYOAL","SQMV00",9,"Host","Comovirus cucurbitae (as Cucurbitaceae)"
"282","BYOAL","CYSDV0",9,"Host","Cucurbit yellow stunting disorder virus (as Cucurbitaceae)"
"283","BYOAL","DACUBI",9,"Host","Dacus bivittatus (as Cucurbitaceae)"
"284","BYOAL","HYLEPL",9,"Host","Delia platura (as Cucurbitaceae)"
"285","BYOAL","DPHNIN",9,"Host","Diaphania indica (as Cucurbitaceae)"
"286","BYOAL","PHOPSC",9,"Host","Diaporthe sclerotioides (as Cucurbitaceae)"
"287","BYOAL","EPILCH",9,"Host","Epilachna elaterii (as Cucurbitaceae)"
"288","BYOAL","FRANOC",9,"Host","Frankliniella occidentalis (as Cucurbitaceae)"
"289","BYOAL","LEPLAU",9,"Host","Leptoglossus australis (as Cucurbitaceae)"
"290","BYOAL","CARYPA",9,"Host","Myiopardalis pardalina (as Cucurbitaceae)"
"291","BYOAL","PRATCO",9,"Host","Pratylenchus coffeae (as Cucurbitaceae)"
"292","BYOAL","ROTYRE",9,"Host","Rotylenchulus reniformis (as Cucurbitaceae)"
"293","BYOAL","SERRMA",1,"Major host","Serratia marcescens (as Cucurbitaceae)"
"294","BYOAL","DACUCM",6,"Wild/Weed","Zeugodacus cucumis (as Cucurbitaceae)"
"295","CAKED","PYDV00",10,"Experimental","Alphanucleorhabdovirus tuberosum (as Brassicaceae)"
"296","CAKED","AGROSE",9,"Host","Agrotis segetum (as Brassicaceae)"
"297","CAKED","ATALCO",9,"Host","Athalia rosae (as Brassicaceae)"
"298","CAKED","BEMITA",9,"Host","Bemisia tabaci (as Brassicaceae)"
"299","CAKED","CEUTPL",9,"Host","Ceutorhynchus assimilis (as Brassicaceae)"
"300","CAKED","CEUTSL",9,"Host","Ceutorhynchus sulcicollis (as Brassicaceae)"
"301","CAKED","CONTNA",9,"Host","Contarinia nasturtii (as Brassicaceae)"
"302","CAKED","HYLEFL",9,"Host","Delia floralis (as Brassicaceae)"
"303","CAKED","HYLEFG",9,"Host","Delia florilega (as Brassicaceae)"
"304","CAKED","HYLEPL",9,"Host","Delia platura (as Brassicaceae)"
"305","CAKED","EURDOL",9,"Host","Eurydema oleraceum (as Brassicaceae)"
"306","CAKED","EURDOR",9,"Host","Eurydema ornata (as Brassicaceae)"
"307","CAKED","HELPRU",9,"Host","Helophorus rufipes (as Brassicaceae)"
"308","CAKED","PALEMA",9,"Host","Nephrotoma appendiculata (as Brassicaceae)"
"309","CAKED","OTALLA",9,"Host","Otala lactea (as Brassicaceae)"
"310","CAKED","PHYEAT",9,"Host","Phyllotreta atra (as Brassicaceae)"
"311","CAKED","PHYECR",9,"Host","Phyllotreta cruciferae (as Brassicaceae)"
"312","CAKED","PHYYRU",9,"Host","Phytomyza rufipes (as Brassicaceae)"
"313","CAKED","PIERBR",9,"Host","Pieris brassicae (as Brassicaceae)"
"314","CAKED","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassicaceae)"
"315","CAKED","LEPTMA",9,"Host","Plenodomus lingam (as Brassicaceae)"
"316","CAKED","PSYICH",9,"Host","Psylliodes chrysocephala (as Brassicaceae)"
"317","CAKED","SPODMA",9,"Host","Spodoptera mauritia (as Brassicaceae)"
"318","CAKED","TATOAU",9,"Host","Tatochila autodice (as Brassicaceae)"
"319","CAKED","TYLOBR",9,"Host","Tyloderma brassicae (as Brassicaceae)"
"320","CAKED","SPIRCI",6,"Wild/Weed","Spiroplasma citri (as Brassicaceae)"
"321","CCLOF","PYDV00",10,"Experimental","Alphanucleorhabdovirus tuberosum (as Brassicaceae)"
"322","CCLOF","AGROSE",9,"Host","Agrotis segetum (as Brassicaceae)"
"323","CCLOF","ATALCO",9,"Host","Athalia rosae (as Brassicaceae)"
"324","CCLOF","BEMITA",9,"Host","Bemisia tabaci (as Brassicaceae)"
"325","CCLOF","CEUTPL",9,"Host","Ceutorhynchus assimilis (as Brassicaceae)"
"326","CCLOF","CEUTSL",9,"Host","Ceutorhynchus sulcicollis (as Brassicaceae)"
"327","CCLOF","CONTNA",9,"Host","Contarinia nasturtii (as Brassicaceae)"
"328","CCLOF","HYLEFL",9,"Host","Delia floralis (as Brassicaceae)"
"329","CCLOF","HYLEFG",9,"Host","Delia florilega (as Brassicaceae)"
"330","CCLOF","HYLEPL",9,"Host","Delia platura (as Brassicaceae)"
"331","CCLOF","EURDOL",9,"Host","Eurydema oleraceum (as Brassicaceae)"
"332","CCLOF","EURDOR",9,"Host","Eurydema ornata (as Brassicaceae)"
"333","CCLOF","HELPRU",9,"Host","Helophorus rufipes (as Brassicaceae)"
"334","CCLOF","PALEMA",9,"Host","Nephrotoma appendiculata (as Brassicaceae)"
"335","CCLOF","OTALLA",9,"Host","Otala lactea (as Brassicaceae)"
"336","CCLOF","PHYEAT",9,"Host","Phyllotreta atra (as Brassicaceae)"
"337","CCLOF","PHYECR",9,"Host","Phyllotreta cruciferae (as Brassicaceae)"
"338","CCLOF","PHYYRU",9,"Host","Phytomyza rufipes (as Brassicaceae)"
"339","CCLOF","PIERBR",9,"Host","Pieris brassicae (as Brassicaceae)"
"340","CCLOF","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassicaceae)"
"341","CCLOF","LEPTMA",9,"Host","Plenodomus lingam (as Brassicaceae)"
"342","CCLOF","PSYICH",9,"Host","Psylliodes chrysocephala (as Brassicaceae)"
"343","CCLOF","SPODMA",9,"Host","Spodoptera mauritia (as Brassicaceae)"
"344","CCLOF","TATOAU",9,"Host","Tatochila autodice (as Brassicaceae)"
"345","CCLOF","TYLOBR",9,"Host","Tyloderma brassicae (as Brassicaceae)"
"346","CCLOF","SPIRCI",6,"Wild/Weed","Spiroplasma citri (as Brassicaceae)"
"347","CCSSI","ANOLCN",9,"Host","Anoplophora chinensis (as Cercis)"
